"카테고리: 예술, 엔터테인먼트"

지역,영화관: (24. 1. 1.~25. 1. 1.),전시: (24. 1. 1.~25. 1. 1.),콘서트: (24. 1. 1.~25. 1. 1.),공연: (24. 1. 1.~25. 1. 1.),연극: (24. 1. 1.~25. 1. 1.)
제주특별자치도,27%,9%,20%,29%,15%
전라북도,34%,5%,21%,25%,15%
서울특별시,15%,11%,21%,28%,25%
강원도,26%,6%,24%,26%,18%
충청북도,25%,7%,22%,27%,19%
대전광역시,21%,9%,23%,28%,19%
부산광역시,23%,7%,25%,25%,20%
경상북도,25%,8%,24%,26%,17%
인천광역시,17%,7%,27%,29%,20%
전라남도,27%,7%,24%,25%,17%
경상남도,24%,5%,25%,27%,19%
대구광역시,20%,7%,27%,28%,18%
경기도,17%,9%,25%,24%,25%
충청남도,19%,11%,22%,28%,20%
울산광역시,18%,7%,22%,31%,22%
광주광역시,16%,11%,23%,31%,19%
